Time,SNR,Speed,RSSI,PDR,Relative_Speed,Scenario
23.2000000000001,6.18,15.5,-63.81,0.019252786452892,4.03038246879189,2
23.3000000000001,6.18,15.5,-63.81,0.019252786452892,3.70600315689103,2
23.4000000000001,6.18,15.5,-63.81,0.019252786452892,3.72109460854372,2
23.5000000000001,6.19,15.44,-63.8,0.019558671048661,3.75192354741372,2
23.6000000000001,6.19,15.5,-63.8,0.019558671048661,3.4540310680273,2
23.7000000000001,6.2,15.51,-63.79,0.01986848426402,3.71389546056335,2
23.8000000000001,6.2,15.54,-63.78,0.01986848426402,3.5196281682977,2
23.9000000000001,6.21,15.47,-63.77,0.020182260618206,3.75892655593036,2
24.0000000000001,6.22,15.49,-63.77,0.020500034689895,3.59286120569228,2
24.1000000000001,6.23,15.51,-63.76,0.020821841113549,3.65770466483309,2
24.2000000000001,6.23,15.54,-63.75,0.020821841113549,3.60853047541543,2
24.3000000000001,6.24,15.45,-63.75,0.021147714575731,3.43059763130459,2
24.4000000000001,6.24,15.55,-63.74,0.021147714575731,3.51135787455037,2
24.5000000000001,6.25,15.45,-63.74,0.021477689811375,3.18699629856858,2
24.6000000000001,6.25,15.46,-63.74,0.021477689811375,3.25902552679934,2
24.7000000000001,6.25,15.51,-63.74,0.021477689811375,3.19635821122209,2
24.8000000000001,6.26,15.51,-63.74,0.021811801600012,3.20173148418963,2
24.9000000000001,6.26,15.47,-63.73,0.021811801600012,3.40084601134943,2
25.0000000000001,6.26,15.47,-63.74,0.021811801600012,2.86514686090186,2
25.1000000000001,6.26,15.48,-63.73,0.021811801600012,3.19119280309869,2
25.2000000000001,6.26,15.46,-63.73,0.021811801600012,3.0274411161184,2
25.3000000000001,6.26,15.46,-63.74,0.021811801600012,2.8030875235882,2
25.4000000000001,6.26,15.53,-63.74,0.021811801600012,2.94618540965364,2
25.5000000000001,6.25,15.49,-63.74,0.021477689811375,2.699275014152,2
25.6000000000001,6.25,15.49,-63.74,0.021477689811375,2.6461892143154,2
25.7000000000001,6.25,15.44,-63.74,0.021477689811375,2.55297810572308,2
25.8000000000001,6.25,15.45,-63.74,0.021477689811375,3.04385430080764,2
25.9000000000001,6.25,15.45,-63.74,0.021477689811375,2.38777100846793,2
26.0000000000001,6.25,15.55,-63.74,0.021477689811375,3.15053058947272,2
26.1000000000001,6.25,15.48,-63.74,0.021477689811375,2.38534585828339,2
26.2000000000001,6.25,15.44,-63.74,0.021477689811375,2.20810526824764,2
26.3000000000001,6.25,15.51,-63.74,0.021477689811375,2.8845286246207,2
26.4000000000001,6.25,15.47,-63.75,0.021477689811375,3.06186987456796,2
26.5000000000001,6.25,15.56,-63.75,0.021477689811375,2.30496785847058,2
26.6000000000001,6.25,15.55,-63.75,0.021477689811375,2.07076640153495,2
26.7000000000001,6.24,15.52,-63.74,0.021147714575731,1.93388748468062,2
26.8000000000001,6.25,15.49,-63.74,0.021477689811375,1.96576782700694,2
26.9000000000001,6.25,15.51,-63.73,0.021477689811375,2.51967494566503,2
27.0000000000001,6.26,15.47,-63.73,0.021811801600012,3.08878580827046,2
27.1000000000001,6.27,15.44,-63.73,0.022150084761965,3.1269623161749,2
27.2000000000001,6.27,15.55,-63.72,0.022150084761965,1.86603498680381,2
27.3000000000001,6.27,15.52,-63.72,0.022150084761965,1.99179518032907,2
27.4000000000001,6.27,15.53,-63.73,0.022150084761965,1.91667746719248,2
27.5000000000001,6.27,15.56,-63.73,0.022150084761965,2.37451296799301,2
27.6000000000001,6.27,15.5,-63.73,0.022150084761965,1.65350221649499,2
27.7000000000001,6.26,15.55,-63.73,0.021811801600012,1.40915756231554,2
27.8000000000001,6.26,15.56,-63.74,0.021811801600012,2.55486520159465,2
27.9000000000001,6.25,15.53,-63.73,0.021477689811375,1.61929437941427,2
28.0000000000001,6.26,15.34,-63.73,0.021811801600012,1.72306540883043,2
28.1000000000001,6.26,15.12,-63.73,0.021811801600012,0.827110055429016,2
28.2000000000001,6.27,14.86,-63.71,0.022150084761965,0.77324209786459,2
28.3000000000001,6.28,14.52,-63.7,0.022492574154492,0.608930957748194,2
28.4000000000001,6.3,14.38,-63.68,0.0231903112216,0.415384464278157,2
28.5000000000001,6.31,14.1,-63.67,0.023545628760174,-0.243296317031869,2
28.6000000000001,6.33,13.88,-63.65,0.02426933667188,0.618445478679572,2
28.7000000000001,6.35,13.74,-63.62,0.025010708309392,0.92351500622158,2
28.8000000000001,6.37,13.44,-63.6,0.025770023721252,1.02105598992384,2
28.9000000000001,6.39,13.69,-63.58,0.026547562964768,1.20535862872808,2
29.0000000000001,6.41,13.94,-63.58,0.027343605970424,0.930238767527428,2
29.1000000000001,6.41,14.19,-63.57,0.027343605970424,0.085661252515187,2
29.2000000000001,6.42,14.44,-63.57,0.027748653793805,0.09872041453358,2
29.3000000000001,6.42,14.69,-63.58,0.027748653793805,0.278462981687505,2
29.4000000000001,6.41,14.94,-63.59,0.027343605970424,0.348827663456407,2
29.5000000000002,6.4,15.19,-63.6,0.026943254010379,0.667860971637386,2
29.6000000000002,6.39,15.44,-63.61,0.026547562964768,0.805333305265197,2
29.7000000000002,6.38,15.56,-63.62,0.026156497863821,0.484048211955149,2
29.8000000000002,6.38,15.47,-63.62,0.026156497863821,0.286104020009663,2
29.9000000000002,6.37,15.46,-63.63,0.025770023721252,1.40615917974003,2
30.0000000000002,6.37,15.51,-63.63,0.025770023721252,0.674497569341108,2
30.1000000000002,6.36,15.45,-63.64,0.025388105538574,0.21546457155631,2
30.2000000000002,6.35,15.54,-63.65,0.025010708309392,0.431924042669769,2
30.3000000000002,6.35,15.53,-63.65,0.025010708309392,0.447436157710839,2
30.4000000000002,6.35,15.5,-63.65,0.025010708309392,1.1560893793923,2
30.5000000000002,6.34,15.53,-63.65,0.024637797023657,0.661932179208035,2
30.6000000000002,6.34,15.51,-63.65,0.024637797023657,0.81901745827703,2
30.7000000000002,6.35,15.47,-63.64,0.025010708309392,0.609200982969059,2
30.8000000000002,6.35,15.48,-63.64,0.025010708309392,0.381647153298905,2
30.9000000000002,6.35,15.51,-63.65,0.025010708309392,0.920045046402197,2
31.0000000000002,6.35,15.52,-63.65,0.025010708309392,0.713643211785738,2
31.1000000000002,6.34,15.53,-63.65,0.024637797023657,0.423496021963421,2
31.2000000000002,6.34,15.5,-63.65,0.024637797023657,0.651543697869278,2
31.3000000000002,6.34,15.52,-63.66,0.024637797023657,0.251290697514284,2
31.4000000000002,6.34,15.52,-63.66,0.024637797023657,0.753411595908266,2
31.5000000000002,6.34,15.5,-63.66,0.024637797023657,1.52715117907865,2
31.6000000000002,6.33,15.53,-63.66,0.02426933667188,1.7768834488813,2
31.7000000000002,6.33,15.45,-63.67,0.02426933667188,0.503929269783302,2
31.8000000000002,6.32,15.52,-63.67,0.023905292249331,0.551605233277563,2
